timestamp,f_flash,f_app,f_reelle,f_nominale,ecart_hz,marche_s_j,classe_dom,nb_images,trig_off,confidence
2026-03-26T18:11:49.807595,4.019292604501608,0.0,4.019292604501608,4.0,0.01929260450160797,416.7202572347321,0,33,248800,0.15151515151515152
2026-03-26T18:25:07.724689,4.019292604501608,0.0,4.019292604501608,4.0,0.01929260450160797,416.7202572347321,0,38,248800,0.34210526315789475
2026-04-09T14:46:40.332708,3.999952000575993,4.852792118465263,8.852744119041256,4.0,4.852744119041256,104819.27297129114,0,637,250003,1.0
2026-04-09T14:54:16.190276,4.043933291276427,0.18356883060862356,4.227502121885051,4.0,0.2275021218850508,4914.045832717097,0,33,247284,0.5151515151515151
2026-04-09T14:59:43.235564,4.051847439840195,0.027791414064070773,4.079638853904266,4.0,0.07963885390426562,1720.1992443321374,0,33,246801,0.42424242424242425
2026-04-09T15:07:54.384700,3.9970262124979015,0.0,3.9970262124979015,4.0,-0.002973787502098535,-64.23381004532835,0,33,250186,0.45454545454545453
2026-04-09T15:10:33.364754,3.8989394884591393,0.0,3.8989394884591393,4.0,-0.10106051154086071,-2182.9070492825913,0,32,256480,0.9375
2026-04-09T15:39:15.786333,3.984889299775252,2.830304515184003,6.815193814959255,4.0,2.8151938149592546,60808.1864031199,0,341,250948,1.0
2026-04-09T15:39:41.260046,3.9997920108154377,2.0214107499063827,6.02120276072182,4.0,2.0212027607218204,43657.97963159132,0,346,250013,1.0
2026-04-09T16:37:59.625801,4.000720129623332,2.989672967401125,6.990393097024457,4.0,2.990393097024457,64592.49089572827,0,339,249955,1.0
2026-04-09T17:39:58.599754,3.9997920108154377,4.877026829249778,8.876818840065216,4.0,4.876818840065216,105339.28694540866,0,338,250013,1.0
2026-04-09T17:41:24.609698,4.0000640010240165,4.222387651617993,8.22245165264201,4.0,4.222451652642009,91204.9556970674,0,341,249996,1.0
2026-04-16T15:25:19.579862,3.980733251064846,0.08117068700835511,4.061903938073201,4.0,0.06190393807320138,1337.1250623811497,0,37,251210,0.7027027027027027
